Player,Receiver_Score,Receiver_Rank,Team
Jamycal Hasty,6.296979387472388,211.0,NE
Dare Ogunbowale,6.298118558553739,212.0,HOU
Braelon Allen,6.2988120796550495,213.0,NYJ
Erik Ezukanma,6.301755650964416,214.0,MIA
Feleipe Franks,6.301755650964416,214.0,CAR
Cade Stover,6.303786282185552,216.0,HOU
Kalif Raymond,6.304962658142816,217.0,DET
Van Jefferson,6.306379892664129,218.0,PIT
Josh Palmer,6.308895771293824,219.0,LAC
Sam Franklin,6.309820167093448,220.0,CAR
C.J. Goodwin,6.309820167093448,220.0,DAL
Kameron Johnson,6.309820167093448,220.0,TB
Tom Kennedy,6.309820167093448,220.0,DET
Taylor Decker,6.309820167093448,220.0,DET
Irvin Charles,6.309820167093448,220.0,NYJ
Terrace Marshall Jr.,6.309820167093448,220.0,LV
Jordan Matthews,6.309820167093448,220.0,CAR
Andrew Beck,6.309820167093448,220.0,GB
Javon Baker,6.309820167093448,220.0,NE
James Pierre,6.309820167093448,220.0,PIT
Stephen Sullivan,6.309820167093448,220.0,CAR
Dareke Young,6.309820167093448,220.0,SEA
Justyn Ross,6.309820167093448,220.0,KC
Xavier Weaver,6.309820167093448,220.0,ARI
Patrick Ricard,6.320922601184318,235.0,BAL
Darnell Washington,6.321082247832096,236.0,PIT
D'Andre Swift,6.332647238143283,237.0,CHI
Justin Watson,6.3340528042506135,238.0,KC
Jeremy Ruckert,6.337749721724158,239.0,NYJ
Tristan Wirfs,6.341439796461098,240.0,TB
Rhamondre Stevenson,6.342440128188759,241.0,NE
Tyler Johnson,6.343102100013239,242.0,LAR
Devaughn Vele,6.343326814370636,243.0,DEN
Jake Brendel,6.344933734708537,244.0,SF
Hassan Haskins,6.345662461000257,245.0,LAC
Tyler Huntley,6.345662461000257,245.0,MIA
Dorian Thompson-Robinson,6.345662461000257,245.0,CLE
Dylan Laube,6.345662461000257,245.0,LV
DeeJay Dallas,6.345662461000257,245.0,ARI
Craig Reynolds,6.345662461000257,245.0,DET
Aidan O'Connell,6.345662461000257,245.0,LV
Bryce Young,6.345662461000257,245.0,CAR
Clayton Tune,6.345662461000257,245.0,ARI
Jake Bailey,6.345662461000257,245.0,MIA
JK Scott,6.345662461000257,245.0,LAC
Brandin Cooks,6.346390909714099,256.0,DAL
Zach Frazier,6.346391187291978,257.0,PIT
Drew Sample,6.34649798005854,258.0,CIN
Jake Ferguson,6.348737071564216,259.0,DAL
Brycen Tremayne,6.353488396230332,260.0,WAS
DeAndre Hopkins,6.3564556888993895,261.0,KC
Christian Kirk,6.357939431944302,262.0,JAX
Ronnie Rivers,6.3608519131251935,263.0,LAR
Tyler Smith,6.3608519131251935,263.0,DAL
JC Latham,6.3608519131251935,263.0,TEN
Ben VanSumeren,6.3608519131251935,263.0,PHI
Johnny Wilson,6.365199531797219,267.0,PHI
J.J. Taylor,6.366865738009986,268.0,HOU
Ty Johnson,6.368351993918032,269.0,BUF
Jonathan Mingo,6.369075813488473,270.0,2TM
K.J. Osborn,6.379297057720674,271.0,NE
Mason Tipton,6.380755384112049,272.0,NO
Bo Nix,6.381490708200994,273.0,DEN
